日期,股票代码,名称,涨跌幅
2020/5/27,'000001,上证指数,-0.3423
2020/5/26,'000001,上证指数,1.0141
2020/5/25,'000001,上证指数,0.1494
2020/5/22,'000001,上证指数,-1.8884
2020/5/21,'000001,上证指数,-0.5484
2020/5/20,'000001,上证指数,-0.5119
2020/5/19,'000001,上证指数,0.8054
2020/5/18,'000001,上证指数,0.2426
2020/5/15,'000001,上证指数,-0.0656
2020/5/14,'000001,上证指数,-0.9561
2020/5/13,'000001,上证指数,0.2246
2020/5/12,'000001,上证指数,-0.1121
2020/5/11,'000001,上证指数,-0.0187
2020/5/8,'000001,上证指数,0.8296
2020/5/7,'000001,上证指数,-0.2299
2020/5/6,'000001,上证指数,0.6314
2020/4/30,'000001,上证指数,1.3336
2020/4/29,'000001,上证指数,0.4419
2020/4/28,'000001,上证指数,-0.1943
2020/4/27,'000001,上证指数,0.248
2020/4/24,'000001,上证指数,-1.0558
2020/4/23,'000001,上证指数,-0.1927
2020/4/22,'000001,上证指数,0.6002
2020/4/21,'000001,上证指数,-0.8953
2020/4/20,'000001,上证指数,0.4953
2020/4/17,'000001,上证指数,0.6582
2020/4/16,'000001,上证指数,0.3116
2020/4/15,'000001,上证指数,-0.5698
2020/4/14,'000001,上证指数,1.5895
2020/4/13,'000001,上证指数,-0.4857
2020/4/10,'000001,上证指数,-1.0359
2020/4/9,'000001,上证指数,0.3742
2020/4/8,'000001,上证指数,-0.1913
2020/4/7,'000001,上证指数,2.0541
2020/4/3,'000001,上证指数,-0.5988
2020/4/2,'000001,上证指数,1.6865
2020/4/1,'000001,上证指数,-0.5736
2020/3/31,'000001,上证指数,0.1122
2020/3/30,'000001,上证指数,-0.9014
2020/3/27,'000001,上证指数,0.2637
2020/3/26,'000001,上证指数,-0.5997
2020/3/25,'000001,上证指数,2.1728
2020/3/24,'000001,上证指数,2.3409
2020/3/23,'000001,上证指数,-3.1123
2020/3/20,'000001,上证指数,1.6094
2020/3/19,'000001,上证指数,-0.9758
2020/3/18,'000001,上证指数,-1.8306
2020/3/17,'000001,上证指数,-0.3446
2020/3/16,'000001,上证指数,-3.4
2020/3/13,'000001,上证指数,-1.2334
